SourceFile,Aperture,ApertureValue,APP14Flags0,APP14Flags1,ApplicationRecordVersion,Artist,AToB0,AToB1,AToB2,BitsPerSample,BlueMatrixColumn,BlueTRC,By-line,By-lineTitle,ChromaticAdaptation,ChromaticityChannel1,ChromaticityChannel2,ChromaticityChannel3,ChromaticityChannels,ChromaticityColorant,CMMFlags,CodedCharacterSet,ColorComponents,ColorSpace,ColorSpaceData,ColorTransform,ComponentsConfiguration,CompressedBitsPerPixel,ConnectionSpaceIlluminant,Contrast,Copyright,CopyrightNotice,CreateDate,Credit,CurrentIPTCDigest,DateCreated,DateTimeCreated,DateTimeOriginal,DCTEncodeVersion,DeviceAttributes,DeviceManufacturer,DeviceMfgDesc,DeviceModel,DeviceModelDesc,DigitalCreationDate,DigitalZoomRatio,Directory,DocumentNotes,EncodingProcess,EnvelopeRecordVersion,ExifByteOrder,ExifToolVersion,ExifVersion,ExposureCompensation,ExposureMode,ExposureProgram,ExposureTime,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,Flash,FlashpixVersion,FocalLength,FocalLength35efl,GainControl,GPSAltitude,GPSAltitudeRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSPosition,GPSVersionID,GreenMatrixColumn,GreenTRC,ImageHeight,ImageSize,ImageWidth,ISO,JFIFVersion,Keywords,LensModel,LensSerialNumber,LightSource,LightValue,Luminance,Make,MakeAndModel,MeasurementBacking,MeasurementFlare,MeasurementGeometry,MeasurementIlluminant,MeasurementObserver,MediaBlackPoint,MediaWhitePoint,Megapixels,MeteringMode,MIMEType,Model,ModifyDate,NativeDisplayInfo,PrimaryPlatform,ProfileClass,ProfileCMMType,ProfileConnectionSpace,ProfileCopyright,ProfileCreator,ProfileDateTime,ProfileDescription,ProfileDescriptionML,ProfileDescriptionML-da-DK,ProfileDescriptionML-de-DE,ProfileDescriptionML-es-ES,ProfileDescriptionML-fi-FI,ProfileDescriptionML-fr-FU,ProfileDescriptionML-it-IT,ProfileDescriptionML-ja-JP,ProfileDescriptionML-ko-KR,ProfileDescriptionML-nl-NL,ProfileDescriptionML-no-NO,ProfileDescriptionML-pt-BR,ProfileDescriptionML-sv-SE,ProfileDescriptionML-zh-CN,ProfileDescriptionML-zh-TW,ProfileFileSignature,ProfileID,ProfileVersion,RedMatrixColumn,RedTRC,RenderingIntent,ResolutionUnit,Saturation,SceneCaptureType,SensingMethod,SerialNumber,Sharpness,ShutterSpeed,Software,SubjectDistance,SubjectDistanceRange,SubSecCreateDate,SubSecDateTimeOriginal,SubSecModifyDate,SubSecTime,SubSecTimeDigitized,SubSecTimeOriginal,Technology,TimeCreated,UserComment,VideoCardGamma,ViewingCondDesc,ViewingCondIlluminant,ViewingCondIlluminantType,ViewingCondSurround,Warning,WhiteBalance,XResolution,YCbCrPositioning,YCbCrSubSampling,YResolution
data/images/untagged/inaturalist/photo_71.png,,,,,,,,,,8,0.1571 0.06657 0.78407,"(Binary data 32 bytes, use -b option to extract)",,,1.04788 0.02292 -0.0502 0.02959 0.99048 -0.01706 -0.00923 0.01508 0.75168,,,,,,"Not Embedded, Independent",,3,,"RGB ",,,,0.9642 1 0.82491,,,,,,,,,,,"Reflective, Glossy, Positive, Color",Apple Computer Inc.,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:28:20+01:00,photo_71.png,rw-rw-r--,26 kB,JPEG,jpg,,,,,,,,,,,,,,0.29198 0.69225 0.04189,"(Binary data 32 bytes, use -b option to extract)",500,375x500,375,,1.01,,,,,,,,,,,,,,,0.95045 1 1.08905,0.188,,image/jpeg,,,,Apple Computer Inc.,Display Device Profile,Apple Computer Inc.,"XYZ ","Copyright Apple Inc., 2017",Apple Computer Inc.,2017:07:07 13:22:32,Display P3,,,,,,,,,,,,,,,,acsp,ca1a9582257f104d389913d5d1ea1582,4.0.0,0.51512 0.2412 -0.00105,"(Binary data 32 bytes, use -b option to extract)",Perceptual,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
data/images/untagged/inaturalist/photo_193.png,,,,,,,,,,8,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:27:50+01:00,photo_193.png,rw-rw-r--,54 kB,JPEG,jpg,,,,,,,,,,,,,,,,347,500x347,500,,1.01,,,,,,,,,,,,,,,,0.173,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
data/images/untagged/inaturalist/photo_50.png,,,,,,,,,,8,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:09:14+01:00,photo_50.png,rw-rw-r--,64 kB,JPEG,jpg,,,,,,,,,,,,,,,,500,375x500,375,,1.01,,,,,,,,,,,,,,,,0.188,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
data/images/untagged/inaturalist/photo_69.png,,,,,,,,,,8,0.14307 0.06061 0.7141,"(Binary data 2060 bytes, use -b option to extract)",,,,,,,,,"Not Embedded, Independent",,3,,"RGB ",,,,0.9642 1 0.82491,,,,,,,,,,,"Reflective, Glossy, Positive, Color",Hewlett-Packard,IEC http://www.iec.ch,sRGB,IEC 61966-2.1 Default RGB colour space - sRGB,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:27:44+01:00,photo_69.png,rw-rw-r--,64 kB,JPEG,jpg,,,,,,,,,,,,,,0.38515 0.71687 0.09708,"(Binary data 2060 bytes, use -b option to extract)",256,500x256,500,,1.01,,,,,,76.03647 80 87.12462,,,0 0 0,0.999%,Unknown,D65,CIE 1931,0 0 0,0.95045 1 1.08905,0.128,,image/jpeg,,,,Microsoft Corporation,Display Device Profile,Linotronic,"XYZ ",Copyright (c) 1998 Hewlett-Packard Company,Hewlett-Packard,1998:02:09 06:49:00,sRGB IEC61966-2.1,,,,,,,,,,,,,,,,acsp,0,2.1.0,0.43607 0.22249 0.01392,"(Binary data 2060 bytes, use -b option to extract)",Perceptual,None,,,,,,,,,,,,,,,,Cathode Ray Tube Display,,,,Reference Viewing Condition in IEC61966-2.1,19.6445 20.3718 16.8089,D50,3.92889 4.07439 3.36179,,,1,,YCbCr4:4:4 (1 1),1
data/images/untagged/inaturalist/photo_164.png,,,,,,,,,,8,0.1571 0.06657 0.78407,"(Binary data 32 bytes, use -b option to extract)",,,1.04788 0.02292 -0.0502 0.02959 0.99048 -0.01706 -0.00923 0.01508 0.75168,,,,,,"Not Embedded, Independent",,3,,"RGB ",,,,0.9642 1 0.82491,,,,,,,,,,,"Reflective, Glossy, Positive, Color",Apple Computer Inc.,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:12:06+01:00,photo_164.png,rw-rw-r--,27 kB,JPEG,jpg,,,,,,,,,,,,,,0.29198 0.69225 0.04189,"(Binary data 32 bytes, use -b option to extract)",500,398x500,398,,1.01,,,,,,,,,,,,,,,0.95045 1 1.08905,0.199,,image/jpeg,,,,Apple Computer Inc.,Display Device Profile,Apple Computer Inc.,"XYZ ","Copyright Apple Inc., 2017",Apple Computer Inc.,2017:07:07 13:22:32,Display P3,,,,,,,,,,,,,,,,acsp,ca1a9582257f104d389913d5d1ea1582,4.0.0,0.51512 0.2412 -0.00105,"(Binary data 32 bytes, use -b option to extract)",Perceptual,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
data/images/untagged/inaturalist/photo_186.png,,,,,,,,,,8,0.14307 0.06061 0.7141,"(Binary data 40 bytes, use -b option to extract)",,,,,,,,,"Not Embedded, Independent",,3,,"RGB ",,,,0.9642 1 0.82491,,,,,,,,,,,"Reflective, Glossy, Positive, Color",,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:11:56+01:00,photo_186.png,rw-rw-r--,113 kB,JPEG,jpg,,,,,,,,,,,,,,0.38515 0.71687 0.09708,"(Binary data 40 bytes, use -b option to extract)",375,500x375,500,,1.01,,,,,,,,,,,,,,,0.9642 1 0.82491,0.188,,image/jpeg,,,,Unknown (),Display Device Profile,,"XYZ ",Google Inc. 2016,,0000:00:00 00:00:00,sRGB,,,,,,,,,,,,,,,,acsp,0,2.1.0,0.43607 0.22249 0.01392,"(Binary data 40 bytes, use -b option to extract)",Media-Relative Colorimetric,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
data/images/untagged/inaturalist/photo_191.png,,,,,,,,,,8,0.14307 0.06061 0.7141,"(Binary data 40 bytes, use -b option to extract)",,,,,,,,,"Not Embedded, Independent",,3,,"RGB ",,,,0.9642 1 0.82491,,,,,,,,,,,"Reflective, Glossy, Positive, Color",,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:12:14+01:00,photo_191.png,rw-rw-r--,14 kB,JPEG,jpg,,,,,,,,,,,,,,0.38515 0.71687 0.09708,"(Binary data 40 bytes, use -b option to extract)",500,496x500,496,,1.01,,,,,,,,,,,,,,,0.9642 1 0.82491,0.248,,image/jpeg,,,,Unknown (),Display Device Profile,,"XYZ ",Google Inc. 2016,,0000:00:00 00:00:00,sRGB,,,,,,,,,,,,,,,,acsp,0,2.1.0,0.43607 0.22249 0.01392,"(Binary data 40 bytes, use -b option to extract)",Media-Relative Colorimetric,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
data/images/untagged/inaturalist/photo_28.png,,,,,,,,,,8,0.1571 0.06657 0.78407,"(Binary data 32 bytes, use -b option to extract)",,,1.04788 0.02292 -0.0502 0.02959 0.99048 -0.01706 -0.00923 0.01508 0.75168,,,,,,"Not Embedded, Independent",,3,,"RGB ",,,,0.9642 1 0.82491,,,,,,,,,,,"Reflective, Glossy, Positive, Color",Apple Computer Inc.,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:10:36+01:00,photo_28.png,rw-rw-r--,30 kB,JPEG,jpg,,,,,,,,,,,,,,0.29198 0.69225 0.04189,"(Binary data 32 bytes, use -b option to extract)",375,500x375,500,,1.01,,,,,,,,,,,,,,,0.95045 1 1.08905,0.188,,image/jpeg,,,,Apple Computer Inc.,Display Device Profile,Apple Computer Inc.,"XYZ ","Copyright Apple Inc., 2017",Apple Computer Inc.,2017:07:07 13:22:32,Display P3,,,,,,,,,,,,,,,,acsp,ca1a9582257f104d389913d5d1ea1582,4.0.0,0.51512 0.2412 -0.00105,"(Binary data 32 bytes, use -b option to extract)",Perceptual,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
data/images/untagged/inaturalist/photo_8.png,,,,,,,,,,8,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:10:10+01:00,photo_8.png,rw-rw-r--,59 kB,JPEG,jpg,,,,,,,,,,,,,,,,500,375x500,375,,1.01,,,,,,,,,,,,,,,,0.188,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
data/images/untagged/inaturalist/photo_20.png,,,,,,,,,,8,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,data/images/untagged/inaturalist,,"Baseline DCT, Huffman coding",,,11.88,,,,,,2022:03:07 10:07:36+01:00,2022:02:11 14:40:28+01:00,2021:11:10 16:12:42+01:00,photo_20.png,rw-rw-r--,81 kB,JPEG,jpg,,,,,,,,,,,,,,,,375,500x375,500,,1.01,,,,,,,,,,,,,,,,0.188,,image/jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,,YCbCr4:2:0 (2 2),1
