id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,lat,long,observe_timestamp,filename
728683,2014-06-01,2014-06-01,,Paris,7033,sara4,2014-06-10 08:49:39 UTC,2020-08-07 23:27:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/728683,http://static.inaturalist.org/photos/915326/medium.jpg,,,,2,0,False,,"England, GB",51.5794583348,-1.0648940558,,26196,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.5794583348,-1.0648940558,2014-06-01,photo_0.png
728693,2014-06-01,2014-06-01,,Paris,7033,sara4,2014-06-10 09:24:23 UTC,2020-08-07 04:28:10 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/728693,http://static.inaturalist.org/photos/915338/medium.jpg,,,another red kite.  ,1,0,False,,"England, GB",51.4962328378,-1.1222557651,,26196,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.4962328378,-1.1222557651,2014-06-01,photo_1.png
837620,2014-08-17,2014-08-17,,London,7033,sara4,2014-08-19 09:34:27 UTC,2020-08-07 06:16:19 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/837620,http://static.inaturalist.org/photos/1060606/medium.jpg,,,,1,0,False,,"England, GB",51.7199052764,-0.7028611083,3311.0,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.7199052764,-0.7028611083,2014-08-17,photo_2.png
837621,2014-08-17,2014-08-17,,London,7033,sara4,2014-08-19 09:36:30 UTC,2020-04-24 20:14:43 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/837621,http://static.inaturalist.org/photos/1060608/medium.jpg,,,,3,0,False,,"England, GB",51.6681290508,-0.6403686033,,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.6681290508,-0.6403686033,2014-08-17,photo_3.png
1544323,2013-05-18,2013-05-18,,Europe/London,105387,photodave,2015-05-25 21:55:41 UTC,2020-08-06 17:00:54 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1544323,https://inaturalist-open-data.s3.amazonaws.com/photos/1912983/medium.jpg,,,This is a montage of a single Red Kite in flight.,1,0,False,62.0,"Buckinghamshire, England, GB",51.7265099263,-0.6749215682,,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.7265099263,-0.6749215682,2013-05-18,photo_4.png
2080081,2015-10-03,2015-10-03,,London,7033,sara4,2015-10-06 09:16:07 UTC,2016-06-24 19:38:14 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2080081,http://static.inaturalist.org/photos/2486707/medium.jpg,,,,1,0,False,,"England, GB",51.5873585875,-1.1238670456,,26196,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.5873585875,-1.1238670456,2015-10-03,photo_5.png
4412287,2016-04-10 11:08:07,2016-04-10,2016-04-10 21:08:07 UTC,Hawaii,354498,paul127,2016-10-22 14:19:55 UTC,2020-08-07 14:09:33 UTC,research,,http://www.inaturalist.org/observations/4412287,http://static.inaturalist.org/photos/5302303/medium.jpg,,,"Stokenchurch ,UK.",2,0,False,,"England, GB",51.6006578343,-0.8984458266,,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.6006578343,-0.8984458266,2016-04-10,photo_6.png
4617084,2016-04-10 11:06:06,2016-04-10,2016-04-10 21:06:06 UTC,Hawaii,354498,paul127,2016-11-22 20:38:10 UTC,2020-08-07 15:07:43 UTC,research,,http://www.inaturalist.org/observations/4617084,http://static.inaturalist.org/photos/5585897/medium.jpg,,,"Stokenchurch ,UK",4,0,False,,"England, GB",51.7206564501,-0.8599878995,,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.7206564501,-0.8599878995,2016-04-10,photo_7.png
9241053,Sat Dec 23 2017 13:53:23 GMT+0000 (GMT),2017-12-23,2017-12-23 13:53:23 UTC,UTC,677988,mt34thomas,2017-12-23 13:55:50 UTC,2019-02-21 22:37:06 UTC,research,,https://www.inaturalist.org/observations/9241053,https://static.inaturalist.org/photos/12509016/medium.jpg,,,,4,0,False,3.0,"England, GB",51.7164660187,-0.5114519765,30.0,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.7164660187,-0.5114519765,2017-12-23,photo_8.png
9392441,2017-10-01 5:00:00 pm CEST,2017-10-01,2017-10-01 15:00:00 UTC,Paris,741111,dancunningham,2018-01-07 12:59:12 UTC,2018-12-09 15:18:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9392441,https://inaturalist-open-data.s3.amazonaws.com/photos/12762605/medium.jpeg,,,Two red kites flying really low over the town and calling. Amazing sight! ,2,0,False,2.0,"England, GB",51.7294444523,-0.7914467483,4128.0,26164,obscured,obscured,True,gps,gps,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.7294444523,-0.7914467483,2017-10-01,photo_9.png
10024982,2012/08/05 1:17 PM BST,2012-08-05,2012-08-05 12:17:00 UTC,Europe/London,215911,rjdee88888,2018-02-27 23:29:41 UTC,2018-12-05 17:40:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10024982,https://inaturalist-open-data.s3.amazonaws.com/photos/13787357/medium.jpeg,,,,4,0,False,,"Buckinghamshire, England, GB",51.6279229147,-0.6871153438,5.0,26164,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.6279229147,-0.6871153438,2012-08-05,photo_10.png
12360028,Fri Mar 23 2018 07:09:23 GMT-0400 (EDT),2018-03-23,2018-03-23 11:09:23 UTC,Eastern Time (US & Canada),743607,orestesmelendez,2018-05-11 20:20:33 UTC,2018-10-15 12:08:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12360028,https://inaturalist-open-data.s3.amazonaws.com/photos/17803357/medium.jpg,,,"Red kite (raptor, bird of prey), common in the Marlow area; thanks to those helping identifying it",5,0,False,3.0,"England, GB",51.556216232,-0.7357203652,5.0,26196,,obscured,True,,,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.556216232,-0.7357203652,2018-03-23,photo_11.png
13152396,2018-06-02 10:14:27 am BST,2018-06-02,2018-06-02 10:14:27 UTC,UTC,1008991,lorenkeeble,2018-06-05 19:45:25 UTC,2018-06-06 12:20:43 UTC,research,,https://www.inaturalist.org/observations/13152396,https://static.inaturalist.org/photos/19187201/medium.jpeg,,,,2,0,False,2.0,"Buckinghamshire, England, GB",51.6738510321,-0.7403366817,,26164,,obscured,True,gps,gps,Red Kite,Milvus milvus,Rotmilan,Aves,5267,51.6738510321,-0.7403366817,2018-06-02,photo_12.png
14034590,2018-06-23 10:11:49 am BST,2018-06-23,2018-06-23 08:11:49 UTC,Brussels,63000,qgroom,2018-07-04 07:25:36 UTC,2018-07-04 10:18:07 UTC,research,CC0,https://www.inaturalist.org/observations/14034590,https://inaturalist-open-data.s3.amazonaws.com/photos/20768462/medium.jpeg,,,,2,0,False,2.0,"England, GB",51.500901128,-0.6781824643,,26196,,obscured,True,gps,gps,Milhafre-real,Milvus milvus,Rotmilan,Aves,5267,51.500901128,-0.6781824643,2018-06-23,photo_13.png
